"","X.3","X.2","X.1","X","React","Reward","keyResponse","Bank","Subnum","Sex","Race","Ethnicity","Bonus","Condition","OptimChoice","Trial","Block","SubjID"
"27",27,27,27,27,411,500,1,10750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,27,2,1
"28",28,28,28,28,422,500,1,11250,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,28,2,1
"29",29,29,29,29,444,500,1,11750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,29,2,1
"30",30,30,30,30,507,450,2,12200,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,30,2,1
"31",31,31,31,31,446,0,1,12200,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,31,2,1
"32",32,32,32,32,1237,450,2,12650,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,32,2,1
"33",33,33,33,33,596,200,2,12850,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,33,2,1
"34",34,34,34,34,292,450,2,13300,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,34,2,1
"35",35,35,35,35,2599,450,2,13750,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,35,2,1
"36",36,36,36,36,371,450,2,14200,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,36,2,1
"37",37,37,37,37,341,450,2,14650,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,37,2,1
"38",38,38,38,38,334,200,2,14850,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,38,2,1
"39",39,39,39,39,398,250,4,15100,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",1,39,2,1
"40",40,40,40,40,299,250,4,15350,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",1,40,2,1
"41",41,41,41,41,1029,300,3,15650,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",1,41,2,1
"42",42,42,42,42,357,500,1,16150,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,42,2,1
"43",43,43,43,43,354,500,1,16650,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,43,2,1
"44",44,44,44,44,309,500,1,17150,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,44,2,1
"45",45,45,45,45,388,500,1,17650,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,45,2,1
"46",46,46,46,46,331,0,1,17650,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,46,2,1
"47",47,47,47,47,582,450,2,18100,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,47,2,1
"48",48,48,48,48,372,450,2,18550,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,48,2,1
"49",49,49,49,49,412,450,2,19000,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,49,2,1
"50",50,50,50,50,294,450,2,19450,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,50,2,1
"51",51,51,51,51,411,250,4,19700,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",1,51,3,1
"52",52,52,52,52,637,200,2,19900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,52,3,1
"53",53,53,53,53,613,500,1,20400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,53,3,1
"54",54,54,54,54,620,500,1,20900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,54,3,1
"55",55,55,55,55,397,500,1,21400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,55,3,1
"56",56,56,56,56,333,500,1,21900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,56,3,1
"57",57,57,57,57,2254,0,1,21900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,57,3,1
"58",58,58,58,58,315,500,1,22400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,58,3,1
"59",59,59,59,59,627,500,1,22900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,59,3,1
"60",60,60,60,60,524,500,1,23400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,60,3,1
"61",61,61,61,61,861,500,1,23900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,61,3,1
"62",62,62,62,62,180,0,1,23900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,62,3,1
"63",63,63,63,63,375,500,1,24400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,63,3,1
"64",64,64,64,64,333,500,1,24900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,64,3,1
"65",65,65,65,65,403,500,1,25400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,65,3,1
"66",66,66,66,66,700,500,1,25900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,66,3,1
"67",67,67,67,67,293,0,1,25900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,67,3,1
"68",68,68,68,68,337,500,1,26400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,68,3,1
"69",69,69,69,69,342,500,1,26900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,69,3,1
"70",70,70,70,70,421,500,1,27400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,70,3,1
"71",71,71,71,71,291,500,1,27900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,71,3,1
"72",72,72,72,72,333,0,1,27900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,72,3,1
"73",73,73,73,73,92,500,1,28400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,73,3,1
"74",74,74,74,74,349,500,1,28900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,74,3,1
"75",75,75,75,75,339,500,1,29400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,75,3,1
"76",76,76,76,76,395,500,1,29900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,76,4,1
"77",77,77,77,77,324,0,1,29900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,77,4,1
"78",78,78,78,78,284,500,1,30400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,78,4,1
"79",79,79,79,79,316,500,1,30900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,79,4,1
"80",80,80,80,80,301,500,1,31400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,80,4,1
"81",81,81,81,81,395,500,1,31900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,81,4,1
"82",82,82,82,82,277,0,1,31900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,82,4,1
"83",83,83,83,83,102,500,1,32400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,83,4,1
"84",84,84,84,84,387,500,1,32900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,84,4,1
"85",85,85,85,85,307,500,1,33400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,85,4,1
"86",86,86,86,86,331,500,1,33900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,86,4,1
"87",87,87,87,87,383,0,1,33900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,87,4,1
"88",88,88,88,88,84,500,1,34400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,88,4,1
"89",89,89,89,89,438,500,1,34900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,89,4,1
"90",90,90,90,90,140,500,1,35400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,90,4,1
"91",91,91,91,91,828,500,1,35900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,91,4,1
"92",92,92,92,92,381,0,1,35900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,92,4,1
"93",93,93,93,93,957,500,1,36400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,93,4,1
"94",94,94,94,94,364,500,1,36900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,94,4,1
"95",95,95,95,95,612,500,1,37400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,95,4,1
"96",96,96,96,96,396,500,1,37900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,96,4,1
"97",97,97,97,97,349,0,1,37900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,97,4,1
"98",98,98,98,98,459,500,1,38400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,98,4,1
"99",99,99,99,99,557,500,1,38900,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,99,4,1
"100",100,100,100,100,447,500,1,39400,1,"Female","More than one Race","Not Hispanic or Latino",-0.6,"Control",0,100,4,1
"101",101,101,101,101,2657,450,2,450,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,1,1,2
"102",102,102,102,102,1517,250,4,700,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,2,1,2
"103",103,103,103,103,1253,500,1,1200,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,3,1,2
"104",104,104,104,104,1086,500,1,1700,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,4,1,2
"105",105,105,105,105,1076,300,3,2000,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,5,1,2
"106",106,106,106,106,500,500,1,2500,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,6,1,2
"107",107,107,107,107,581,500,1,3000,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,7,1,2
"108",108,108,108,108,638,0,1,3000,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,8,1,2
"109",109,109,109,109,725,250,4,3250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,9,1,2
"110",110,110,110,110,797,450,2,3700,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,10,1,2
"111",111,111,111,111,582,450,2,4150,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,11,1,2
"112",112,112,112,112,803,450,2,4600,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,12,1,2
"113",113,113,113,113,559,200,2,4800,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,13,1,2
"114",114,114,114,114,957,250,4,5050,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,14,1,2
"115",115,115,115,115,901,300,3,5350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,15,1,2
"116",116,116,116,116,548,300,3,5650,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,16,1,2
"117",117,117,117,117,642,300,3,5950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,17,1,2
"118",118,118,118,118,651,1300,3,7250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,18,1,2
"119",119,119,119,119,662,500,1,7750,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,19,1,2
"120",120,120,120,120,532,300,3,8050,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,20,1,2
"121",121,121,121,121,573,500,1,8550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,21,1,2
"122",122,122,122,122,514,500,1,9050,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,22,1,2
"123",123,123,123,123,453,500,1,9550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,23,1,2
"124",124,124,124,124,461,0,1,9550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,24,1,2
"125",125,125,125,125,517,450,2,10000,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,25,1,2
"126",126,126,126,126,652,450,2,10450,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,26,2,2
"127",127,127,127,127,543,450,2,10900,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,27,2,2
"128",128,128,128,128,517,450,2,11350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,28,2,2
"129",129,129,129,129,540,200,2,11550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,29,2,2
"130",130,130,130,130,598,450,2,12000,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,30,2,2
"131",131,131,131,131,741,250,4,12250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,31,2,2
"132",132,132,132,132,524,1500,4,13750,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,32,2,2
"133",133,133,133,133,766,250,4,14000,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,33,2,2
"134",134,134,134,134,534,250,4,14250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,34,2,2
"135",135,135,135,135,540,250,4,14500,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,35,2,2
"136",136,136,136,136,533,250,4,14750,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,36,2,2
"137",137,137,137,137,502,1500,4,16250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,37,2,2
"138",138,138,138,138,591,300,3,16550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,38,2,2
"139",139,139,139,139,469,300,3,16850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,39,2,2
"140",140,140,140,140,476,300,3,17150,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,40,2,2
"141",141,141,141,141,469,1300,3,18450,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,41,2,2
"142",142,142,142,142,532,300,3,18750,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,42,2,2
"143",143,143,143,143,468,300,3,19050,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,43,2,2
"144",144,144,144,144,535,300,3,19350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,44,2,2
"145",145,145,145,145,516,300,3,19650,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,45,2,2
"146",146,146,146,146,550,1300,3,20950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,46,2,2
"147",147,147,147,147,676,500,1,21450,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,47,2,2
"148",148,148,148,148,557,500,1,21950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,48,2,2
"149",149,149,149,149,517,500,1,22450,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,49,2,2
"150",150,150,150,150,532,500,1,22950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,50,2,2
"151",151,151,151,151,723,0,1,22950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,51,3,2
"152",152,152,152,152,446,450,2,23400,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,52,3,2
"153",153,153,153,153,509,450,2,23850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,53,3,2
"154",154,154,154,154,501,250,4,24100,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,54,3,2
"155",155,155,155,155,526,250,4,24350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,55,3,2
"156",156,156,156,156,477,250,4,24600,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,56,3,2
"157",157,157,157,157,637,250,4,24850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,57,3,2
"158",158,158,158,158,527,1500,4,26350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,58,3,2
"159",159,159,159,159,677,300,3,26650,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,59,3,2
"160",160,160,160,160,485,300,3,26950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,60,3,2
"161",161,161,161,161,546,300,3,27250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,61,3,2
"162",162,162,162,162,589,300,3,27550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,62,3,2
"163",163,163,163,163,627,1300,3,28850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,63,3,2
"164",164,164,164,164,701,250,4,29100,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,64,3,2
"165",165,165,165,165,452,250,4,29350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,65,3,2
"166",166,166,166,166,789,250,4,29600,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,66,3,2
"167",167,167,167,167,523,250,4,29850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,67,3,2
"168",168,168,168,168,564,1500,4,31350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,68,3,2
"169",169,169,169,169,676,500,1,31850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,69,3,2
"170",170,170,170,170,547,500,1,32350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,70,3,2
"171",171,171,171,171,518,500,1,32850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,71,3,2
"172",172,172,172,172,485,500,1,33350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,72,3,2
"173",173,173,173,173,565,0,1,33350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,73,3,2
"174",174,174,174,174,587,500,1,33850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,74,3,2
"175",175,175,175,175,501,500,1,34350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,75,3,2
"176",176,176,176,176,587,500,1,34850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,76,4,2
"177",177,177,177,177,499,500,1,35350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",0,77,4,2
"178",178,178,178,178,550,300,3,35650,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,78,4,2
"179",179,179,179,179,492,300,3,35950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,79,4,2
"180",180,180,180,180,509,300,3,36250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,80,4,2
"181",181,181,181,181,565,300,3,36550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,81,4,2
"182",182,182,182,182,557,1300,3,37850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,82,4,2
"183",183,183,183,183,605,300,3,38150,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,83,4,2
"184",184,184,184,184,557,300,3,38450,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,84,4,2
"185",185,185,185,185,628,300,3,38750,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,85,4,2
"186",186,186,186,186,477,300,3,39050,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,86,4,2
"187",187,187,187,187,565,1300,3,40350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,87,4,2
"188",188,188,188,188,756,300,3,40650,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,88,4,2
"189",189,189,189,189,665,300,3,40950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,89,4,2
"190",190,190,190,190,684,300,3,41250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,90,4,2
"191",191,191,191,191,756,300,3,41550,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,91,4,2
"192",192,192,192,192,567,1300,3,42850,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,92,4,2
"193",193,193,193,193,589,300,3,43150,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,93,4,2
"194",194,194,194,194,531,300,3,43450,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,94,4,2
"195",195,195,195,195,877,300,3,43750,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,95,4,2
"196",196,196,196,196,738,300,3,44050,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,96,4,2
"197",197,197,197,197,740,1300,3,45350,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,97,4,2
"198",198,198,198,198,678,300,3,45650,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,98,4,2
"199",199,199,199,199,525,300,3,45950,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,99,4,2
"200",200,200,200,200,780,300,3,46250,2,"Female","White","Not Hispanic or Latino",6.25,"Control",1,100,4,2
"201",201,201,201,201,9939,450,2,450,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,1,1,3
"202",202,202,202,202,4347,250,4,700,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,2,1,3
"203",203,203,203,203,1123,300,3,1000,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,3,1,3
"204",204,204,204,204,779,500,1,1500,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,4,1,3
"205",205,205,205,205,892,450,2,1950,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,5,1,3
"206",206,206,206,206,1220,300,3,2250,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,6,1,3
"207",207,207,207,207,692,250,4,2500,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,7,1,3
"208",208,208,208,208,774,500,1,3000,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,8,1,3
"209",209,209,209,209,2844,450,2,3450,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,9,1,3
"210",210,210,210,210,662,450,2,3900,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,10,1,3
"211",211,211,211,211,1477,500,1,4400,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,11,1,3
"212",212,212,212,212,2812,200,2,4600,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,12,1,3
"213",213,213,213,213,2813,500,1,5100,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,13,1,3
"214",214,214,214,214,695,0,1,5100,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,14,1,3
"215",215,215,215,215,1357,250,4,5350,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,15,1,3
"216",216,216,216,216,596,300,3,5650,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,16,1,3
"217",217,217,217,217,515,300,3,5950,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,17,1,3
"218",218,218,218,218,684,250,4,6200,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,18,1,3
"219",219,219,219,219,748,450,2,6650,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,19,1,3
"220",220,220,220,220,621,500,1,7150,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,20,1,3
"221",221,221,221,221,1141,1300,3,8450,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,21,1,3
"222",222,222,222,222,2542,1500,4,9950,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,22,1,3
"223",223,223,223,223,599,300,3,10250,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,23,1,3
"224",224,224,224,224,406,450,2,10700,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,24,1,3
"225",225,225,225,225,654,500,1,11200,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,25,1,3
"226",226,226,226,226,1093,300,3,11500,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,26,2,3
"227",227,227,227,227,684,450,2,11950,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,27,2,3
"228",228,228,228,228,815,250,4,12200,3,"Female","White","Not Hispanic or Latino",3.5,"Control",1,28,2,3
"229",229,229,229,229,6366,500,1,12700,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,29,2,3
"230",230,230,230,230,470,500,1,13200,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,30,2,3
"231",231,231,231,231,453,0,1,13200,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,31,2,3
"232",232,232,232,232,644,500,1,13700,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,32,2,3
"233",233,233,233,233,653,500,1,14200,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,33,2,3
"234",234,234,234,234,893,450,2,14650,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,34,2,3
"235",235,235,235,235,461,200,2,14850,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,35,2,3
"236",236,236,236,236,421,450,2,15300,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,36,2,3
"237",237,237,237,237,932,450,2,15750,3,"Female","White","Not Hispanic or Latino",3.5,"Control",0,37,2,3
